dow,n,either_1100_pct,both_1100_pct,high_only_1100,low_only_1100,neither_1100,either_1115_pct,both_1115_pct,high_only_1115,low_only_1115,neither_1115,either_1130_pct,both_1130_pct,high_only_1130,low_only_1130,neither_1130
Mon,47,87.23,6.38,18,20,6,97.87,12.77,20,20,1,97.87,19.15,19,18,1
Tue,47,93.62,14.89,15,22,3,97.87,29.79,13,19,1,97.87,34.04,13,17,1
Wed,47,91.49,10.64,20,18,4,100.00,25.53,16,19,0,100.00,36.17,14,16,0
Thu,45,82.22,6.67,18,16,8,95.56,15.56,18,18,2,97.78,28.89,18,13,1
Fri,46,91.30,10.87,16,21,4,93.48,21.74,14,19,3,97.83,30.43,14,17,1
