metric,by_11_00_count,by_11_00_pct,by_11_15_count,by_11_15_pct,by_11_30_count,by_11_30_pct
total_days,232,100.00,232,100.00,232,100.00
either_side,207,89.22,225,96.98,228,98.28
both_sides,23,9.91,49,21.12,69,29.74
high_only,87,37.50,81,34.91,78,33.62
low_only,97,41.81,95,40.95,81,34.91
neither,25,10.78,7,3.02,4,1.72
high_any,110,47.41,130,56.03,147,63.36
low_any,120,51.72,144,62.07,150,64.66
