metric,by_11_15_count,by_11_15_pct,by_11_30_count,by_11_30_pct,by_11_45_count,by_11_45_pct
total_days,232,100.00,232,100.00,232,100.00
either_side,192,82.76,219,94.40,226,97.41
both_sides,18,7.76,46,19.83,65,28.02
high_only,97,41.81,98,42.24,92,39.66
low_only,77,33.19,75,32.33,69,29.74
neither,40,17.24,13,5.60,6,2.59
high_any,115,49.57,144,62.07,157,67.67
low_any,95,40.95,121,52.16,134,57.76
