setup_date,fill_date,strategy,direction,contracts,fill_price,exit_price,exit_reason,pts,pts_net,pnl_dollars,risk_pts,R,equity_after
2012-10-15,2012-10-16,TOPQ,long,8,2736.5,2751.875,target,15.375,14.875,226.0,15.875,0.937007874015748,33920.90999999999
2012-10-18,2012-10-19,TOPQ,short,4,2727.25,2704.25,target,23.0,22.5,174.0,23.5,0.9574468085106383,34094.90999999999
2012-10-19,2012-10-22,TOPQ,short,3,2663.75,2687.75,close,-24.0,-24.5,-151.5,37.0,-0.6621621621621622,33943.40999999999
2012-10-22,2012-10-23,TOPQ,long,6,2693.25,2675.25,stop,-18.0,-18.5,-231.0,18.0,-1.0277777777777777,33712.40999999999
2012-10-23,2012-10-24,TOPQ,short,4,2651.25,2673.375,stop,-22.125,-22.625,-187.0,22.125,-1.0225988700564972,33525.40999999999
2012-10-24,2012-10-25,TOPQ,short,6,2646.0,2663.375,stop,-17.375,-17.875,-223.5,17.375,-1.0287769784172662,33301.90999999999
2012-10-25,2012-10-26,TOPQ,short,6,2640.0,2656.875,ambiguous_stop,-16.875,-17.375,-217.5,16.875,-1.0296296296296297,33084.40999999999
2012-10-26,2012-10-31,TOPQ,long,3,2669.5,2636.875,stop,-32.625,-33.125,-203.25,32.625,-1.0153256704980842,32881.15999999999
2012-10-31,2012-11-01,TOPQ,short,4,2631.5,2654.25,stop,-22.75,-23.25,-192.0,22.75,-1.021978021978022,32689.15999999999
2012-11-01,2012-11-02,TOPQ,long,3,2689.0,2658.0,stop,-31.0,-31.5,-193.5,31.0,-1.0161290322580645,32495.65999999999
2012-11-02,2012-11-05,TOPQ,short,4,2640.5,2667.5,stop,-27.0,-27.5,-226.0,27.0,-1.0185185185185186,32269.65999999999
2012-11-07,2012-11-08,TOPQ,short,2,2598.75,2572.0,close,26.75,26.25,102.0,44.75,0.5865921787709497,32371.65999999999
2012-11-08,2012-11-09,TOPQ,short,3,2568.25,2595.875,stop,-27.625,-28.125,-173.25,27.625,-1.0180995475113122,32198.40999999999
2012-11-12,2012-11-13,NR7,short,4,2571.75,2560.5,close,11.25,10.75,80.0,25.5,0.4215686274509804,32278.40999999999
2012-11-13,2012-11-14,TOPQ,short,6,2552.75,2569.375,ambiguous_stop,-16.625,-17.125,-214.5,16.625,-1.0300751879699248,32063.90999999999
2012-11-14,2012-11-15,TOPQ,short,3,2526.25,2522.0,close,4.25,3.75,18.0,29.875,0.12552301255230125,32081.90999999999
2012-11-16,2012-11-19,TOPQ,long,4,2539.5,2562.875,target,23.375,22.875,177.0,23.875,0.9581151832460733,32258.90999999999
2012-11-19,2012-11-20,TOPQ,long,3,2594.5,2593.5,close,-1.0,-1.5,-13.5,30.125,-0.04979253112033195,32245.40999999999
2012-11-20,2012-11-21,TOPQ,long,8,2597.0,2582.375,stop,-14.625,-15.125,-254.0,14.625,-1.0341880341880343,31991.40999999999
2012-11-21,2012-11-23,NR7,long,4,2602.25,2634.25,close,32.0,31.5,246.0,25.25,1.2475247524752475,32237.40999999999
2012-11-23,2012-11-26,TOPQ,long,4,2639.0,2645.75,close,6.75,6.25,44.0,21.5,0.29069767441860467,32281.40999999999
2012-11-27,2012-11-28,NR7,short,4,2636.25,2658.75,stop,-22.5,-23.0,-190.0,22.5,-1.0222222222222221,32091.40999999999
2012-11-28,2012-11-29,TOPQ,long,3,2665.75,2680.0,close,14.25,13.75,78.0,27.25,0.5045871559633027,32169.40999999999
2012-12-03,2012-12-04,TOPQ,short,6,2666.0,2664.5,close,1.5,1.0,3.0,16.375,0.061068702290076333,32172.40999999999
2012-12-06,2012-12-07,TOPQ,long,6,2662.25,2642.25,stop,-20.0,-20.5,-255.0,20.0,-1.025,31917.40999999999
2012-12-07,2012-12-10,TOPQ,short,4,2629.25,2651.375,stop,-22.125,-22.625,-187.0,22.125,-1.0225988700564972,31730.40999999999
2012-12-12,2012-12-13,TOPQ,short,8,2667.75,2682.0,ambiguous_stop,-14.25,-14.75,-248.0,14.25,-1.0350877192982457,31482.40999999999
2012-12-13,2012-12-14,TOPQ,short,4,2642.25,2627.75,close,14.5,14.0,106.0,23.625,0.5925925925925926,31588.40999999999
2012-12-14,2012-12-17,TOPQ,short,4,2619.75,2641.375,stop,-21.625,-22.125,-183.0,21.625,-1.023121387283237,31405.40999999999
2012-12-17,2012-12-18,TOPQ,long,3,2670.0,2697.625,target,27.625,27.125,158.25,28.125,0.9644444444444444,31563.65999999999
2012-12-18,2012-12-19,TOPQ,long,4,2709.5,2694.25,close,-15.25,-15.75,-132.0,21.625,-0.7283236994219653,31431.65999999999
2012-12-20,2012-12-21,NR7,short,4,2679.5,2650.5,close,29.0,28.5,222.0,24.5,1.163265306122449,31653.65999999999
2012-12-24,2012-12-26,NR7,short,6,2646.25,2628.5,close,17.75,17.25,198.0,16.5,1.0454545454545454,31851.65999999999
2012-12-26,2012-12-27,TOPQ,short,6,2621.75,2603.625,target,18.125,17.625,202.5,18.625,0.9463087248322147,32054.15999999999
2012-12-28,2012-12-31,TOPQ,short,4,2582.25,2606.5,stop,-24.25,-24.75,-204.0,24.25,-1.0206185567010309,31850.15999999999
2012-12-31,2013-01-02,TOPQ,long,2,2686.25,2707.5,target,21.25,20.75,80.0,63.75,0.3254901960784314,31930.15999999999
2013-01-02,2013-01-03,TOPQ,long,3,2743.0,2725.5,close,-17.5,-18.0,-112.5,28.5,-0.631578947368421,31817.65999999999
2013-01-07,2013-01-08,NR7,long,4,2723.0,2702.5,stop,-20.5,-21.0,-174.0,20.5,-1.024390243902439,31643.65999999999
2013-01-09,2013-01-10,NR7,long,6,2730.5,2737.0,close,6.5,6.0,63.0,19.25,0.3116883116883117,31706.65999999999
2013-01-11,2013-01-14,NR7,long,9,2744.75,2732.25,stop,-12.5,-13.0,-247.5,12.5,-1.04,31459.15999999999
2013-01-22,2013-01-23,TOPQ,long,6,2758.25,2739.375,stop,-18.875,-19.375,-241.5,18.875,-1.0264900662251655,31217.65999999999
2013-01-29,2013-01-30,TOPQ,long,6,2747.25,2731.625,stop,-15.625,-16.125,-202.5,15.625,-1.032,31015.15999999999
2013-02-06,2013-02-07,TOPQ,short,9,2732.75,2745.0,ambiguous_stop,-12.25,-12.75,-243.0,12.25,-1.0408163265306123,30772.15999999999
2013-02-07,2013-02-08,TOPQ,long,6,2749.0,2766.75,target,17.75,17.25,198.0,18.25,0.9452054794520548,30970.15999999999
2013-02-19,2013-02-20,TOPQ,long,8,2786.25,2772.125,stop,-14.125,-14.625,-246.0,14.125,-1.0353982300884956,30724.15999999999
2013-02-20,2013-02-21,TOPQ,short,3,2724.75,2714.0,close,10.75,10.25,57.0,31.0,0.33064516129032256,30781.15999999999
2013-02-22,2013-02-25,TOPQ,long,9,2739.25,2726.625,ambiguous_stop,-12.625,-13.125,-249.75,12.625,-1.0396039603960396,30531.40999999999
2013-02-25,2013-02-26,TOPQ,short,3,2691.5,2707.75,close,-16.25,-16.75,-105.0,36.625,-0.45733788395904434,30426.40999999999
2013-02-28,2013-03-01,TOPQ,short,8,2732.25,2747.0,ambiguous_stop,-14.75,-15.25,-256.0,14.75,-1.0338983050847457,30170.40999999999
2013-03-01,2013-03-04,TOPQ,long,4,2751.75,2760.0,close,8.25,7.75,56.0,20.125,0.38509316770186336,30226.40999999999
2013-03-04,2013-03-05,TOPQ,long,6,2764.0,2779.25,target,15.25,14.75,168.0,15.75,0.9365079365079365,30394.40999999999
2013-03-07,2013-03-08,NR7,long,6,2804.75,2801.5,close,-3.25,-3.75,-54.0,16.25,-0.23076923076923078,30340.40999999999
2013-03-15,2013-03-18,NR7,short,3,2774.0,2792.49,target,-18.48999999999978,-18.98999999999978,-118.43999999999869,37.5,-0.5063999999999942,30221.96999999999
2013-03-18,2013-03-19,TOPQ,long,4,2797.5,2772.75,stop,-24.75,-25.25,-208.0,24.75,-1.02020202020202,30013.96999999999
2013-03-22,2013-03-25,TOPQ,long,6,2799.75,2781.375,stop,-18.375,-18.875,-235.5,18.375,-1.0272108843537415,29778.46999999999
2013-03-26,2013-03-27,NR7,long,4,2804.0,2784.5,stop,-19.5,-20.0,-166.0,19.5,-1.0256410256410255,29612.46999999999
2013-03-28,2013-04-01,TOPQ,long,9,2815.0,2803.125,stop,-11.875,-12.375,-236.25,11.875,-1.0421052631578946,29376.21999999999
2013-04-03,2013-04-04,TOPQ,short,4,2780.0,2799.75,stop,-19.75,-20.25,-168.0,19.75,-1.0253164556962024,29208.21999999999
2013-04-08,2013-04-09,TOPQ,long,6,2788.5,2803.875,target,15.375,14.875,169.5,15.875,0.937007874015748,29377.71999999999
2013-04-11,2013-04-12,NR7,short,6,2843.0,2846.25,close,-3.25,-3.75,-54.0,15.5,-0.24193548387096775,29323.71999999999
2013-04-17,2013-04-18,TOPQ,short,3,2758.0,2739.5,close,18.5,18.0,103.5,36.375,0.4948453608247423,29427.21999999999
2013-04-24,2013-04-25,NR7,long,4,2838.5,2816.0,stop,-22.5,-23.0,-190.0,22.5,-1.0222222222222221,29237.21999999999
2013-05-02,2013-05-03,TOPQ,long,4,2910.75,2932.125,target,21.375,20.875,161.0,21.875,0.9542857142857143,29398.21999999999
2013-05-08,2013-05-09,TOPQ,long,9,2965.25,2953.375,ambiguous_stop,-11.875,-12.375,-236.25,11.875,-1.0421052631578946,29161.96999999999
2013-05-10,2013-05-13,TOPQ,long,10,2979.0,2968.75,stop,-10.25,-10.75,-230.0,10.25,-1.048780487804878,28931.96999999999
2013-05-13,2013-05-14,TOPQ,long,8,2987.75,2974.0,ambiguous_stop,-13.75,-14.25,-240.0,13.75,-1.0363636363636364,28691.96999999999
2013-05-22,2013-05-23,TOPQ,short,3,2983.5,2992.25,close,-8.75,-9.25,-60.0,35.125,-0.26334519572953735,28631.96999999999
2013-05-31,2013-06-03,TOPQ,short,4,2976.0,2953.0,target,23.0,22.5,174.0,23.5,0.9574468085106383,28805.96999999999
2013-06-03,2013-06-04,TOPQ,long,4,2995.25,2972.5,stop,-22.75,-23.25,-192.0,22.75,-1.021978021978022,28613.96999999999
2013-06-05,2013-06-06,TOPQ,short,4,2931.75,2949.5,close,-17.75,-18.25,-152.0,23.125,-0.7891891891891892,28461.96999999999
2013-06-06,2013-06-07,TOPQ,long,4,2954.25,2975.75,target,21.5,21.0,162.0,22.0,0.9545454545454546,28623.96999999999
2013-06-07,2013-06-10,TOPQ,long,3,2992.25,2987.0,close,-5.25,-5.75,-39.0,26.25,-0.21904761904761905,28584.96999999999
2013-06-10,2013-06-11,NR7,short,3,2976.0,2963.5,close,12.5,12.0,67.5,28.0,0.42857142857142855,28652.46999999999
2013-06-12,2013-06-13,TOPQ,short,3,2919.25,2949.5,stop,-30.25,-30.75,-189.0,30.25,-1.0165289256198347,28463.46999999999
2013-06-14,2013-06-17,TOPQ,short,6,2936.5,2953.625,stop,-17.125,-17.625,-220.5,17.125,-1.0291970802919708,28242.96999999999
