dow,n,either_30_pct,both_30_pct,high_only_30,low_only_30,neither_30,either_45_pct,both_45_pct,high_only_45,low_only_45,neither_45,either_1100_pct,both_1100_pct,high_only_1100,low_only_1100,neither_1100
Mon,47,85.11,2.13,21,18,7,93.62,10.64,21,18,3,100.00,23.40,18,18,0
Tue,47,78.72,10.64,18,14,10,91.49,19.15,19,15,4,100.00,25.53,20,15,0
Wed,47,87.23,8.51,24,13,6,95.74,12.77,24,15,2,100.00,19.15,22,16,0
Thu,45,86.67,8.89,22,13,6,95.56,24.44,21,11,2,97.78,28.89,20,11,1
Fri,46,86.96,6.52,19,18,6,93.48,15.22,18,18,3,100.00,23.91,18,17,0
