dow,n,either_45_pct,both_45_pct,high_only_45,low_only_45,neither_45,either_1100_pct,both_1100_pct,high_only_1100,low_only_1100,neither_1100,either_1115_pct,both_1115_pct,high_only_1115,low_only_1115,neither_1115
Mon,47,76.60,0.00,19,17,11,91.49,19.15,16,18,4,95.74,23.40,16,18,2
Tue,47,85.11,4.26,20,18,7,95.74,21.28,18,17,2,100.00,29.79,17,16,0
Wed,47,89.36,8.51,23,15,5,95.74,14.89,22,16,2,100.00,25.53,19,16,0
Thu,45,95.56,4.44,24,17,2,100.00,15.56,21,17,0,100.00,22.22,18,17,0
Fri,46,84.78,4.35,22,15,7,93.48,19.57,20,14,3,100.00,23.91,20,15,0
